date;latitude;longitude;time;cluster_center_lat;cluster_center_lon;Country/Sea;Region;DAY/NIGHT;cluster_category;cluster_indicators;ndetection;cluster_number;point_indicators
2026-08-13;17.70059;49.64345;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3
2026-08-13;17.74217;49.43658;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3
2026-08-13;17.74242;53.9206;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3
2026-08-13;17.75973;52.06058;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3
2026-08-13;17.79055;53.63978;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3
2026-08-13;17.80928;51.76617;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3
2026-08-13;17.81478;54.4094;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3
2026-08-13;17.82289;52.83997;2026-08-13 17:17:50;21.06677;51.968433;Saudi Arabia;Ash-Sharqīyah;NIGHT;others;C2H4:2,CO2:5,HCOOH:71,HNO3:15,NH3:2;95;L3_0005;HNO3
2026-08-13;17.84499;51.59588;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3
2026-08-13;17.87316;53.19554;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3
